#   max_th 15
# time red_drops red_traffic red_ratio mred_drops mred_traffic  mred_ratio
# 
# 
779  24 24 0 30 30 0
780  19 19 0 29 29 0
781  19 19 0 0 23 1
782  21 21 0 0 17 1
783  9 9 0 26 26 0
784  24 24 0 0 10 1
785  38 38 0 0 12 1
786  5 5 0 0 11 1
787  14 14 0 26 26 0
788  27 27 0 0 35 1
789  21 21 0 29 29 0
790  22 22 0 42 42 0
791  24 24 0 0 18 1
792  33 33 0 38 38 0
793  11 11 0 25 25 0
794  35 35 0 30 30 0
795  14 14 0 0 17 1
796  11 11 0 0 31 1
797  20 20 0 28 28 0
798  21 21 0 25 25 0
799  30 30 0 0 34 1
800  24 24 0 0 12 1
801  34 34 0 0 12 1
802  10 10 0 0 31 1
803  29 29 0 0 35 1
804  0 0 0 38 38 0
805  18 18 0 0 10 1
806  31 31 0 26 26 0
807  14 14 0 40 40 0
808  26 26 0 0 27 1
809  8 8 0 0 12 1
810  9 9 0 42 42 0
811  16 16 0 0 19 1
812  33 33 0 0 19 1
813  7 7 0 37 37 0
814  19 19 0 24 24 0
815  19 19 0 0 23 1
816  21 21 0 30 30 0
817  41 41 0 30 30 0
818  5 5 0 0 8 1
819  35 35 0 0 12 1
820  42 42 0 0 19 1
821  26 26 0 0 14 1
822  21 21 0 41 41 0
823  22 22 0 0 21 1
824  35 35 0 0 5 1
825  17 17 0 26 26 0
826  26 26 0 16 16 0
827  30 30 0 26 26 0
828  22 22 0 45 45 0
829  12 12 0 0 7 1
830  25 25 0 22 22 0
831  19 19 0 41 41 0
832  31 31 0 26 26 0
833  26 26 0 0 19 1
834  10 10 0 28 28 0
835  28 28 0 0 23 1
836  45 45 0 16 16 0
837  17 17 0 22 22 0
838  17 17 0 0 19 1
839  5 5 0 0 21 1
840  15 15 0 33 33 0
841  28 28 0 0 27 1
842  12 12 0 24 24 0
843  30 30 0 41 41 0
844  31 31 0 0 14 1
845  24 24 0 24 24 0
846  7 7 0 28 28 0
847  42 42 0 30 30 0
848  21 21 0 24 24 0
849  26 26 0 0 10 1
850  42 42 0 0 7 1
851  5 5 0 0 7 1
852  22 22 0 36 36 0
853  21 21 0 38 38 0
854  35 35 0 1 18 0.944444444444444
855  16 16 0 29 29 0
856  14 14 0 0 19 1
857  22 22 0 0 34 1
858  24 24 0 28 28 0
859  5 5 0 0 21 1
860  19 19 0 0 23 1
861  21 21 0 0 19 1
862  31 31 0 0 11 1
863  20 20 0 45 45 0
864  33 33 0 40 40 0
865  23 23 0 0 31 1
866  24 24 0 0 9 1
867  28 28 0 25 25 0
868  12 12 0 0 19 1
869  23 23 0 38 38 0
870  5 5 0 29 29 0
871  19 19 0 0 21 1
872  33 33 0 22 22 0
873  18 18 0 0 31 1
874  24 24 0 38 38 0
875  12 12 0 45 45 0
876  26 26 0 0 31 1
877  21 21 0 0 34 1
878  33 33 0 0 21 1
879  7 7 0 0 27 1
880  18 18 0 33 33 0
881  8 8 0 40 40 0
882  38 38 0 33 33 0
883  19 19 0 38 38 0
884  15 15 0 0 27 1
885  3 3 0 0 12 1
886  11 11 0 0 19 1
887  40 40 0 30 30 0
888  12 12 0 0 19 1
